annee,Radar fixe, Radar Feu Rouge, Radar discriminant, Radar passage Ã  niveau, Radar Vitesse Moyenne, ItinÃ©raire
2003, 33, 0, 0, 0, 0, 0
2004, 70, 0, 0, 0, 0, 0
2005, 371, 0, 0, 0, 0, 0
2006, 160, 0, 0, 0, 0, 0
2007, 239, 0, 0, 0, 0, 0
2008, 318, 0, 0, 0, 0, 0
2009, 247, 30, 0, 0, 0, 0
2010, 87, 277, 0, 0, 0, 0
2011, 235, 267, 16, 0, 0, 0
2012, 162, 94, 67, 6, 6, 0
2013, 50, 26, 85, 37, 40, 0
2014, 23, 0, 50, 13, 38, 0
2015, 13, 0, 17, 14, 12, 0
2016, 7, 0, 125, 8, 4, 14
2017, 6, 1, 44, 0, 1, 36
2018, 1, 0, 4, 0, 2, 22